parlay_theme,payout,leg_number,player,sport,game,game_time_utc,stat,line,direction,display,american_odds
NBA 3-pick,5x,1,VJ Edgecombe,NBA,PHI @ NYK,2026-05-06T23:00:00Z,3-Pointers Made,1.5,over,2+,-157
NBA 3-pick,5x,2,OG Anunoby,NBA,PHI @ NYK,2026-05-06T23:00:00Z,3-Pointers Made,2.5,over,3+,+110
NBA 3-pick,5x,3,Josh Hart,NBA,PHI @ NYK,2026-05-06T23:00:00Z,Assists,4.5,over,5+,-154
NBA 4-pick,10x,1,VJ Edgecombe,NBA,PHI @ NYK,2026-05-06T23:00:00Z,3-Pointers Made,1.5,over,2+,-157
NBA 4-pick,10x,2,OG Anunoby,NBA,PHI @ NYK,2026-05-06T23:00:00Z,3-Pointers Made,2.5,over,3+,+110
NBA 4-pick,10x,3,Josh Hart,NBA,PHI @ NYK,2026-05-06T23:00:00Z,Assists,4.5,over,5+,-154
NBA 4-pick,10x,4,Jalen Brunson,NBA,PHI @ NYK,2026-05-06T23:00:00Z,3-Pointers Made,2.5,over,3+,-102
NBA 5-pick,20x,1,VJ Edgecombe,NBA,PHI @ NYK,2026-05-06T23:00:00Z,3-Pointers Made,1.5,over,2+,-157
NBA 5-pick,20x,2,OG Anunoby,NBA,PHI @ NYK,2026-05-06T23:00:00Z,3-Pointers Made,2.5,over,3+,+110
NBA 5-pick,20x,3,Josh Hart,NBA,PHI @ NYK,2026-05-06T23:00:00Z,Assists,4.5,over,5+,-154
NBA 5-pick,20x,4,Jalen Brunson,NBA,PHI @ NYK,2026-05-06T23:00:00Z,3-Pointers Made,2.5,over,3+,-102
NBA 5-pick,20x,5,Kelly Oubre,NBA,PHI @ NYK,2026-05-06T23:00:00Z,3-Pointers Made,1.5,over,2+,+150
NBA 6-pick,40x,1,VJ Edgecombe,NBA,PHI @ NYK,2026-05-06T23:00:00Z,3-Pointers Made,1.5,over,2+,-157
NBA 6-pick,40x,2,OG Anunoby,NBA,PHI @ NYK,2026-05-06T23:00:00Z,3-Pointers Made,2.5,over,3+,+110
NBA 6-pick,40x,3,Josh Hart,NBA,PHI @ NYK,2026-05-06T23:00:00Z,Assists,4.5,over,5+,-154
NBA 6-pick,40x,4,Jalen Brunson,NBA,PHI @ NYK,2026-05-06T23:00:00Z,3-Pointers Made,2.5,over,3+,-102
NBA 6-pick,40x,5,Kelly Oubre,NBA,PHI @ NYK,2026-05-06T23:00:00Z,3-Pointers Made,1.5,over,2+,+150
NBA 6-pick,40x,6,Karl-Anthony Towns,NBA,PHI @ NYK,2026-05-06T23:00:00Z,Assists,4.5,over,5+,-107
MLB 3-pick,5x,1,Jared Triolo,MLB,PIT @ AZ,2026-05-06T01:40:00Z,Hits + Runs + RBIs,1.5,over,2+,-103
MLB 3-pick,5x,2,Alek Thomas,MLB,PIT @ AZ,2026-05-06T01:40:00Z,Hits + Runs + RBIs,1.5,over,2+,+123
MLB 3-pick,5x,3,Leo Rivas,MLB,ATL @ SEA,2026-05-06T01:40:00Z,Hits,0.5,over,1+,+101
MLB 4-pick,10x,1,Jared Triolo,MLB,PIT @ AZ,2026-05-06T01:40:00Z,Hits + Runs + RBIs,1.5,over,2+,-103
MLB 4-pick,10x,2,Alek Thomas,MLB,PIT @ AZ,2026-05-06T01:40:00Z,Hits + Runs + RBIs,1.5,over,2+,+123
MLB 4-pick,10x,3,Leo Rivas,MLB,ATL @ SEA,2026-05-06T01:40:00Z,Hits,0.5,over,1+,+101
MLB 4-pick,10x,4,Oneil Cruz,MLB,PIT @ AZ,2026-05-06T01:40:00Z,Hits,0.5,over,1+,-239
MLB 5-pick,20x,1,Jared Triolo,MLB,PIT @ AZ,2026-05-06T01:40:00Z,Hits + Runs + RBIs,1.5,over,2+,-103
MLB 5-pick,20x,2,Alek Thomas,MLB,PIT @ AZ,2026-05-06T01:40:00Z,Hits + Runs + RBIs,1.5,over,2+,+123
MLB 5-pick,20x,3,Leo Rivas,MLB,ATL @ SEA,2026-05-06T01:40:00Z,Hits,0.5,over,1+,+101
MLB 5-pick,20x,4,Oneil Cruz,MLB,PIT @ AZ,2026-05-06T01:40:00Z,Hits,0.5,over,1+,-239
MLB 5-pick,20x,5,Jakob Marsee,MLB,BAL @ MIA,2026-05-06T22:40:00Z,Hits + Runs + RBIs,1.5,over,2+,-117
MLB 6-pick,40x,1,Jared Triolo,MLB,PIT @ AZ,2026-05-06T01:40:00Z,Hits + Runs + RBIs,1.5,over,2+,-103
MLB 6-pick,40x,2,Alek Thomas,MLB,PIT @ AZ,2026-05-06T01:40:00Z,Hits + Runs + RBIs,1.5,over,2+,+123
MLB 6-pick,40x,3,Leo Rivas,MLB,ATL @ SEA,2026-05-06T01:40:00Z,Hits,0.5,over,1+,+101
MLB 6-pick,40x,4,Oneil Cruz,MLB,PIT @ AZ,2026-05-06T01:40:00Z,Hits,0.5,over,1+,-239
MLB 6-pick,40x,5,Jakob Marsee,MLB,BAL @ MIA,2026-05-06T22:40:00Z,Hits + Runs + RBIs,1.5,over,2+,-117
MLB 6-pick,40x,6,Connor Norby,MLB,BAL @ MIA,2026-05-06T22:40:00Z,Hits,0.5,over,1+,-205
NHL 3-pick,5x,1,Rasmus Dahlin,NHL,MTL @ BUF,2026-05-06T23:00:00Z,Shots on Goal,2.5,over,3+,-150
NHL 3-pick,5x,2,Peyton Krebs,NHL,MTL @ BUF,2026-05-06T23:00:00Z,Points,0.5,over,1+,+124
NHL 3-pick,5x,3,Jason Zucker,NHL,MTL @ BUF,2026-05-06T23:00:00Z,Points,0.5,over,1+,+114
NHL 4-pick,10x,1,Rasmus Dahlin,NHL,MTL @ BUF,2026-05-06T23:00:00Z,Shots on Goal,2.5,over,3+,-150
NHL 4-pick,10x,2,Peyton Krebs,NHL,MTL @ BUF,2026-05-06T23:00:00Z,Points,0.5,over,1+,+124
NHL 4-pick,10x,3,Jason Zucker,NHL,MTL @ BUF,2026-05-06T23:00:00Z,Points,0.5,over,1+,+114
NHL 4-pick,10x,4,Alex Tuch,NHL,MTL @ BUF,2026-05-06T23:00:00Z,Points,0.5,over,1+,-154
NHL 5-pick,20x,1,Rasmus Dahlin,NHL,MTL @ BUF,2026-05-06T23:00:00Z,Shots on Goal,2.5,over,3+,-150
NHL 5-pick,20x,2,Peyton Krebs,NHL,MTL @ BUF,2026-05-06T23:00:00Z,Points,0.5,over,1+,+124
NHL 5-pick,20x,3,Jason Zucker,NHL,MTL @ BUF,2026-05-06T23:00:00Z,Points,0.5,over,1+,+114
NHL 5-pick,20x,4,Alex Tuch,NHL,MTL @ BUF,2026-05-06T23:00:00Z,Points,0.5,over,1+,-154
NHL 5-pick,20x,5,Tage Thompson,NHL,MTL @ BUF,2026-05-06T23:00:00Z,Shots on Goal,3.5,over,4+,-124
NHL 6-pick,40x,1,Rasmus Dahlin,NHL,MTL @ BUF,2026-05-06T23:00:00Z,Shots on Goal,2.5,over,3+,-150
NHL 6-pick,40x,2,Peyton Krebs,NHL,MTL @ BUF,2026-05-06T23:00:00Z,Points,0.5,over,1+,+124
NHL 6-pick,40x,3,Jason Zucker,NHL,MTL @ BUF,2026-05-06T23:00:00Z,Points,0.5,over,1+,+114
NHL 6-pick,40x,4,Alex Tuch,NHL,MTL @ BUF,2026-05-06T23:00:00Z,Points,0.5,over,1+,-154
NHL 6-pick,40x,5,Tage Thompson,NHL,MTL @ BUF,2026-05-06T23:00:00Z,Shots on Goal,3.5,over,4+,-124
NHL 6-pick,40x,6,Josh Anderson,NHL,MTL @ BUF,2026-05-06T23:00:00Z,Points,0.5,over,1+,+263
Cross-Sport 4-pick,10x,1,Owen Power,NHL,MTL @ BUF,2026-05-06T23:00:00Z,Points,0.5,over,1+,+193
